1/1/0001 12:00:00 AM,2/9/2022 9:12:35 AM,FUME DUST,FUME_PRESSURE_fault
2/9/2022 9:12:32 AM,2/9/2022 9:17:06 AM,FUME DUST,FUME_PRESSURE_fault
2/9/2022 9:12:47 AM,2/9/2022 9:17:06 AM,FUME DUST,TE_1953A_fault
2/9/2022 9:17:00 AM,2/9/2022 9:17:06 AM,FUME DUST,FUME_PRESSURE_fault
2/9/2022 9:17:05 AM,2/9/2022 11:19:09 AM,FUME DUST,FUME_PRESSURE_fault
2/9/2022 9:17:20 AM,2/9/2022 11:19:09 AM,FUME DUST,TE_1953A_fault
2/9/2022 11:18:56 AM,2/9/2022 11:19:09 AM,FUME DUST,FUME_PRESSURE_fault
2/9/2022 11:19:06 AM,2/9/2022 11:20:11 AM,FUME DUST,FUME_PRESSURE_fault
2/9/2022 11:19:51 AM,2/9/2022 11:20:11 AM,VACCUMP PUMP,VACCUM_PRESSURE_fault
2/9/2022 11:20:06 AM,2/9/2022 11:20:11 AM,FUME DUST,TE_1953A_fault
2/9/2022 11:20:11 AM,2/9/2022 11:20:20 AM,VACCUMP PUMP,VACCUM_PRESSURE_fault
2/9/2022 11:20:11 AM,2/9/2022 11:20:20 AM,FUME DUST,FUME_PRESSURE_fault
2/9/2022 11:20:11 AM,2/9/2022 11:20:20 AM,FUME DUST,TE_1953A_fault
2/9/2022 11:20:16 AM,2/9/2022 11:20:31 AM,VACCUMP PUMP,VACCUM_PRESSURE_fault
2/9/2022 11:20:16 AM,2/9/2022 11:20:31 AM,FUME DUST,FUME_PRESSURE_fault
2/9/2022 11:20:26 AM,2/9/2022 11:20:44 AM,VACCUMP PUMP,VACCUM_PRESSURE_fault
2/9/2022 11:26:25 AM,,FUME DUST,FUME_PRESSURE_fault
